bar pass 2 trial onset at 6402.007324
bar pass 2 event mri_trigger at 6402.018672
bar pass 2 event mri_trigger at 6402.093604
bar pass 2 event mri_trigger at 6402.176902
bar pass 2 event mri_trigger at 6402.252192
bar pass 2 event mri_trigger at 6402.335558
bar pass 2 stimulus probe onset at 6402.349188
bar pass 2 event mri_trigger at 6402.418662
bar pass 2 event mri_trigger at 6402.493767
bar pass 2 event mri_trigger at 6402.577242
bar pass 2 event mri_trigger at 6402.652375
bar pass 2 event mri_trigger at 6402.735776
bar pass 2 event mri_trigger at 6402.818876
bar pass 2 event mri_trigger at 6402.894088
bar pass 2 event mri_trigger at 6402.977245
bar pass 2 event mri_trigger at 6403.052614
bar pass 2 event mri_trigger at 6403.135763
bar pass 2 trial offset at 6403.199413
bar pass 2 trial onset at 6403.207793
bar pass 2 event mri_trigger at 6403.211118
bar pass 2 event mri_trigger at 6403.294342
bar pass 2 event mri_trigger at 6403.377517
bar pass 2 event mri_trigger at 6403.452602
bar pass 2 event mri_trigger at 6403.535770
bar pass 2 stimulus probe onset at 6403.549495
bar pass 2 event mri_trigger at 6403.619168
bar pass 2 event mri_trigger at 6403.694352
bar pass 2 event mri_trigger at 6403.777534
bar pass 2 event mri_trigger at 6403.852841
bar pass 2 event mri_trigger at 6403.936050
bar pass 2 event mri_trigger at 6404.011160
bar pass 2 event mri_trigger at 6404.094383
bar pass 2 event mri_trigger at 6404.177766
bar pass 2 event mri_trigger at 6404.252844
bar pass 2 event mri_trigger at 6404.336391
bar pass 2 trial offset at 6404.399851
bar pass 2 trial onset at 6404.408267
bar pass 2 event mri_trigger at 6404.411399
bar pass 2 event mri_trigger at 6404.494649
bar pass 2 event mri_trigger at 6404.577794
bar pass 2 event mri_trigger at 6404.653074
bar pass 2 event mri_trigger at 6404.736612
bar pass 2 stimulus probe onset at 6404.749956
bar pass 2 event mri_trigger at 6404.811418
bar pass 2 event mri_trigger at 6404.894890
bar pass 2 event mri_trigger at 6404.977980
bar pass 2 event mri_trigger at 6405.053134
bar pass 2 event mri_trigger at 6405.136633
bar pass 2 event mri_trigger at 6405.211710
bar pass 2 event mri_trigger at 6405.295070
bar pass 2 event mri_trigger at 6405.378357
bar pass 2 event mri_trigger at 6405.453478
bar pass 2 event mri_trigger at 6405.536815
bar pass 2 trial offset at 6405.600398
bar pass 2 trial onset at 6405.608772
bar pass 2 event mri_trigger at 6405.612114
bar pass 2 event mri_trigger at 6405.695083
bar pass 2 event mri_trigger at 6405.778373
bar pass 2 event mri_trigger at 6405.853475
bar pass 2 event mri_trigger at 6405.936894
bar pass 2 stimulus probe onset at 6405.950626
bar pass 2 event mri_trigger at 6406.011891
bar pass 2 event mri_trigger at 6406.095477
bar pass 2 event mri_trigger at 6406.178614
bar pass 2 event mri_trigger at 6406.253727
bar pass 2 event mri_trigger at 6406.337121
bar pass 2 event mri_trigger at 6406.411928
bar pass 2 event mri_trigger at 6406.495484
bar pass 2 event mri_trigger at 6406.578888
bar pass 2 event mri_trigger at 6406.653994
bar pass 2 event mri_trigger at 6406.737137
bar pass 2 trial offset at 6406.809207
bar pass 2 event mri_trigger at 6406.812582
bar pass 2 trial onset at 6406.817620
bar pass 2 event mri_trigger at 6406.895780
bar pass 2 event mri_trigger at 6406.979089
bar pass 2 event mri_trigger at 6407.054020
bar pass 2 event mri_trigger at 6407.137386
bar pass 2 stimulus probe onset at 6407.159327
bar pass 2 event mri_trigger at 6407.212499
bar pass 2 event mri_trigger at 6407.295782
bar pass 2 event mri_trigger at 6407.379373
bar pass 2 event mri_trigger at 6407.454058
bar pass 2 event mri_trigger at 6407.537441
bar pass 2 event mri_trigger at 6407.612584
bar pass 2 event mri_trigger at 6407.696048
bar pass 2 event mri_trigger at 6407.779470
bar pass 2 event mri_trigger at 6407.854240
bar pass 2 event mri_trigger at 6407.937749
bar pass 2 trial offset at 6408.009668
bar pass 2 event mri_trigger at 6408.012943
bar pass 2 trial onset at 6408.017971
bar pass 2 event mri_trigger at 6408.096011
bar pass 2 event mri_trigger at 6408.179468
bar pass 2 event mri_trigger at 6408.254536
bar pass 2 event mri_trigger at 6408.337991
bar pass 2 stimulus probe onset at 6408.359770
bar pass 2 event mri_trigger at 6408.412909
bar pass 2 event mri_trigger at 6408.496225
bar pass 2 event mri_trigger at 6408.571324
bar pass 2 event mri_trigger at 6408.654840
bar pass 2 event mri_trigger at 6408.737996
bar pass 2 event mri_trigger at 6408.813129
bar pass 2 event mri_trigger at 6408.896286
bar pass 2 event mri_trigger at 6408.971631
bar pass 2 event mri_trigger at 6409.054879
bar pass 2 event mri_trigger at 6409.138212
bar pass 2 trial offset at 6409.210091
bar pass 2 event mri_trigger at 6409.213253
bar pass 2 - 216/2.160000e+02 drawn bar stimuli - and 90/90 probes - 1 missed sync on 2592 frames, 0.0% (mean/median delay = 7.8/7.8 ms)
bar pass 2 stopped at 6409.214389
bar pass 3 started at 6409.351268
bar pass 3 trial onset at 6409.369591
bar pass 3 event mri_trigger at 6409.464736
bar pass 3 event mri_trigger at 6409.538519
bar pass 3 event mri_trigger at 6409.613361
bar pass 3 event mri_trigger at 6409.697032
bar pass 3 event mri_trigger at 6409.772066
bar pass 3 event mri_trigger at 6409.855213
bar pass 3 event mri_trigger at 6409.938743
bar pass 3 event mri_trigger at 6410.013542
bar pass 3 event mri_trigger at 6410.097071
bar pass 3 event mri_trigger at 6410.172093
bar pass 3 event mri_trigger at 6410.255527
bar pass 3 event mri_trigger at 6410.338760
bar pass 3 event mri_trigger at 6410.413872
bar pass 3 event mri_trigger at 6410.497206
bar pass 3 event mri_trigger at 6410.572368
bar pass 3 trial offset at 6410.602422
bar pass 3 trial onset at 6410.610687
bar pass 3 event mri_trigger at 6410.655598
bar pass 3 event mri_trigger at 6410.738821
bar pass 3 event mri_trigger at 6410.813838
bar pass 3 event mri_trigger at 6410.897299
bar pass 3 event mri_trigger at 6410.972285
bar pass 3 event mri_trigger at 6411.055650
bar pass 3 event mri_trigger at 6411.139099
bar pass 3 event mri_trigger at 6411.214136
bar pass 3 event mri_trigger at 6411.297302
bar pass 3 event mri_trigger at 6411.372649
bar pass 3 event mri_trigger at 6411.455866
bar pass 3 event mri_trigger at 6411.539091
bar pass 3 event mri_trigger at 6411.614138
bar pass 3 event mri_trigger at 6411.697586
bar pass 3 event mri_trigger at 6411.772666
